Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00-05:00,6.604773756645998,6.664276668490625,6.341263020219727,6.392265319824219,7668476,0.0,0.0
2000-01-04 00:00:00-05:00,6.4007673787181565,6.494271386820084,5.916246796804075,6.018251419067383,9497846,0.0,0.0
2000-01-05 00:00:00-05:00,6.120254553631427,6.154256318909806,6.043751096943744,6.111753940582275,12035160,0.0,0.0
2000-01-06 00:00:00-05:00,6.104634634652714,6.164567685589979,5.907710468059799,5.993330001831055,9471366,0.244,0.0
2000-01-07 00:00:00-05:00,6.104635807412987,6.130321603289677,5.941959561455234,6.044702053070068,7792534,0.0,0.0
2000-01-10 00:00:00-05:00,6.130321502685546,6.16456876869782,6.061826278769083,6.130321502685547,9425159,0.0,0.0
2000-01-11 00:00:00-05:00,6.1217594407001386,6.156006707274441,6.001892623906227,6.044702053070068,8569987,0.0,0.0
2000-01-12 00:00:00-05:00,5.959087037999022,5.967649206110649,5.685106307081586,5.7279157638549805,11810080,0.0,0.0
2000-01-13 00:00:00-05:00,5.804970370689091,5.882027775035791,5.58236101398806,5.590922832489014,10923000,0.0,0.0
2000-01-14 00:00:00-05:00,5.650858173182974,5.75360107421875,5.479620004790014,5.75360107421875,13092109,0.0,0.0
2000-01-18 00:00:00-05:00,5.770723288275248,5.899151961536688,5.599485172575353,5.633732795715332,13007638,0.0,0.0
2000-01-19 00:00:00-05:00,5.616607547994668,5.616607547994668,5.47961708624397,5.556674480438232,13521085,0.0,0.0
2000-01-20 00:00:00-05:00,5.590925535952793,5.693668445483169,5.488182626422417,5.616611003875732,13346450,0.0,0.0
2000-01-21 00:00:00-05:00,5.873465124790377,5.941960359024796,5.75359829190714,5.890588760375977,21118330,0.0,0.0
2000-01-24 00:00:00-05:00,5.950524708411022,5.959086876290303,5.608048717571278,5.75360107421875,13214050,0.0,0.0
2000-01-25 00:00:00-05:00,5.6166114914656555,5.6337354841803915,5.282697265963788,5.479620933532715,21108664,0.0,0.0
2000-01-26 00:00:00-05:00,5.548116558445421,5.548116558445421,5.436811470665229,5.479620933532715,10144620,0.0,0.0
2000-01-27 00:00:00-05:00,5.488179329742498,5.522426945680514,5.342627048492432,5.342627048492432,9162212,0.0,0.0
2000-01-28 00:00:00-05:00,5.385437696809805,5.539551830323925,5.342628253716558,5.376875877380371,11453394,0.0,0.0
2000-01-31 00:00:00-05:00,5.411123286688799,5.959084897656862,5.3511898611648006,5.8734660148620605,14902017,0.0,0.0
2000-02-01 00:00:00-05:00,5.8905891397692605,5.8905891397692605,5.719351389100368,5.8049702644348145,11849270,0.0,0.0
2000-02-02 00:00:00-05:00,5.890590167898325,5.90771380757552,5.822094917297363,5.822094917297363,8837832,0.0,0.0
2000-02-03 00:00:00-05:00,5.890591608933119,5.916277420678607,5.659420341062255,5.75360107421875,10199831,0.0,0.0
