Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2000-01-03T05:00:00.000000+0000,6.605,6.664,6.341,6.392,7668476.0,,,,0.323,,,,0.213,,,,,,,,,,,0
2000-01-04T05:00:00.000000+0000,6.401,6.494,5.916,6.018,9497846.0,6.392,,,0.578,0.323,,,0.383,0.213,,,7668476.0,,,6.392,6.392,6.392,-0.06029196053065695,0
2000-01-05T05:00:00.000000+0000,6.12,6.154,6.044,6.112,12035160.0,6.018,6.392,,0.111,0.578,0.323,,0.009,0.383,0.213,,9497846.0,7668476.0,,6.143,6.173,6.189,0.015417037461694209,1
2000-01-06T05:00:00.000000+0000,6.105,6.165,5.908,5.993,9471366.0,6.112,6.018,6.392,0.257,0.111,0.578,0.323,0.111,0.009,0.383,0.213,12035160.0,9497846.0,7668476.0,6.125,6.145,6.159,-0.01956660813404279,0
2000-01-07T05:00:00.000000+0000,6.105,6.13,5.942,6.045,7792534.0,5.993,6.112,6.018,0.188,0.257,0.111,0.578,0.06,0.111,0.009,0.383,9471366.0,12035160.0,9497846.0,6.055,6.086,6.106,0.00853501018440377,1
2000-01-10T05:00:00.000000+0000,6.13,6.165,6.062,6.13,9425159.0,6.045,5.993,6.112,0.103,0.188,0.257,0.111,-0.0,0.06,0.111,0.009,7792534.0,9471366.0,12035160.0,6.05,6.071,6.089,0.014065001301353897,1
2000-01-11T05:00:00.000000+0000,6.122,6.156,6.002,6.045,8569987.0,6.13,6.045,5.993,0.154,0.103,0.188,0.257,0.077,-0.0,0.06,0.111,9425159.0,7792534.0,9471366.0,6.091,6.091,6.099,-0.01406500130135388,0
2000-01-12T05:00:00.000000+0000,5.959,5.968,5.685,5.728,11810080.0,6.045,6.13,6.045,0.283,0.154,0.103,0.188,0.231,0.077,-0.0,0.06,8569987.0,9425159.0,7792534.0,6.067,6.076,6.087,-0.05383047117229735,0
2000-01-13T05:00:00.000000+0000,5.805,5.882,5.582,5.591,10923000.0,5.728,6.045,6.13,0.3,0.283,0.154,0.103,0.214,0.231,0.077,-0.0,11810080.0,8569987.0,9425159.0,5.897,5.967,6.011,-0.024207363664660992,0
2000-01-14T05:00:00.000000+0000,5.651,5.754,5.48,5.754,13092109.0,5.591,5.728,6.045,0.274,0.3,0.283,0.154,-0.103,0.214,0.231,0.077,10923000.0,11810080.0,8569987.0,5.744,5.852,5.926,0.028681572704206775,1
2000-01-18T05:00:00.000000+0000,5.771,5.899,5.599,5.634,13007638.0,5.754,5.591,5.728,0.3,0.274,0.3,0.283,0.137,-0.103,0.214,0.231,13092109.0,10923000.0,11810080.0,5.749,5.822,5.893,-0.021053691329951014,0
2000-01-19T05:00:00.000000+0000,5.617,5.617,5.48,5.557,13521085.0,5.634,5.754,5.591,0.137,0.3,0.274,0.3,0.06,0.137,-0.103,0.214,13007638.0,13092109.0,10923000.0,5.691,5.766,5.844,-0.013772426937653766,0
2000-01-20T05:00:00.000000+0000,5.591,5.694,5.488,5.617,13346450.0,5.557,5.634,5.754,0.205,0.137,0.3,0.274,-0.026,0.06,0.137,-0.103,13521085.0,13007638.0,13092109.0,5.624,5.704,5.792,0.010728643500720246,1
2000-01-21T05:00:00.000000+0000,5.873,5.942,5.754,5.891,21118330.0,5.617,5.557,5.634,0.188,0.205,0.137,0.3,-0.017,-0.026,0.06,0.137,13346450.0,13521085.0,13007638.0,5.62,5.678,5.761,0.04762749419273326,1
